iter	Passed	Remaining
0	0	75
1	1	64
2	1	62
3	2	58
4	3	57
5	3	56
6	4	56
7	4	55
8	5	54
9	6	54
10	6	53
11	7	52
12	7	53
13	8	52
14	9	52
15	9	51
16	10	50
17	11	50
18	11	49
19	12	50
20	13	49
21	14	49
22	14	49
23	15	49
24	16	48
25	16	48
26	17	47
27	18	47
28	18	46
29	19	46
30	20	45
31	21	45
32	22	44
33	22	44
34	23	43
35	24	43
36	25	42
37	25	42
38	26	41
39	27	41
40	29	41
41	29	41
42	30	40
43	31	40
44	33	40
45	34	40
46	35	40
47	36	39
48	37	39
49	38	38
50	39	38
51	41	38
52	43	38
53	44	37
54	45	37
55	47	37
56	55	42
57	57	41
58	60	41
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	69	35
66	69	34
67	70	33
68	71	32
69	74	32
70	76	31
71	80	31
72	86	31
73	88	31
74	89	29
75	90	28
76	92	27
77	94	26
78	97	25
79	98	24
80	101	23
81	102	22
82	103	21
83	107	20
84	111	19
85	113	18
86	115	17
87	117	16
88	119	14
89	120	13
90	121	12
91	123	10
92	124	9
93	125	8
94	126	6
95	127	5
96	128	3
97	129	2
98	131	1
99	132	0
