iter	Passed	Remaining
0	158	158610
1	161	80526
2	164	54509
3	166	41418
4	170	34001
5	173	28707
6	175	24936
7	177	22025
8	179	19765
9	182	18022
10	184	16578
11	186	15355
12	188	14292
13	190	13381
14	191	12606
15	193	11927
16	196	11373
17	198	10818
18	199	10302
19	201	9866
20	203	9464
21	204	9097
22	206	8752
23	207	8432
24	208	8141
25	211	7913
26	215	7750
27	216	7525
28	218	7323
29	220	7137
30	222	6955
31	224	6791
32	227	6663
33	229	6511
34	230	6354
35	231	6195
36	232	6046
37	233	5905
38	234	5770
39	235	5644
40	236	5535
41	237	5419
42	239	5334
43	241	5248
44	242	5155
45	244	5069
46	246	4993
47	247	4910
48	248	4828
49	249	4748
50	250	4669
51	251	4593
52	253	4531
53	274	4810
54	276	4745
55	277	4685
56	279	4626
57	281	4568
58	282	4507
59	284	4463
60	288	4441
61	290	4398
62	292	4345
63	293	4292
64	294	4238
65	295	4187
66	297	4138
67	298	4094
68	301	4067
69	302	4023
70	304	3984
71	305	3940
72	306	3897
73	308	3855
74	309	3816
75	310	3775
76	311	3738
77	313	3705
78	315	3679
79	316	3643
80	318	3609
81	319	3575
82	319	3534
83	320	3499
84	321	3464
85	322	3430
86	323	3397
87	324	3364
88	325	3335
89	327	3309
90	328	3280
91	330	3261
92	331	3237
93	332	3209
94	334	3182
95	335	3154
96	335	3126
97	336	3101
98	337	3075
99	338	3049
100	340	3026
101	341	3004
102	342	2983
103	343	2961
104	345	2945
105	347	2929
106	348	2912
107	350	2892
108	351	2873
109	352	2852
110	354	2836
111	355	2818
112	356	2799
113	357	2780
114	359	2763
115	361	2753
116	362	2738
117	364	2723
118	365	2705
119	366	2687
120	368	2675
121	369	2657
122	370	2643
123	372	2629
124	373	2613
125	375	2607
126	377	2593
127	378	2581
128	380	2572
129	382	2559
130	383	2545
131	384	2530
132	386	2516
133	387	2503
134	388	2488
135	390	2477
136	391	2469
137	393	2455
138	394	2441
139	395	2430
140	396	2417
141	397	2403
142	398	2390
143	400	2379
144	401	2369
145	403	2360
146	406	2358
147	409	2355
148	411	2349
149	412	2336
150	413	2326
151	415	2315
152	416	2303
153	417	2292
154	418	2281
155	420	2276
156	422	2268
157	424	2261
158	426	2253
159	427	2243
160	427	2230
161	429	2220
162	430	2213
163	432	2205
164	436	2211
165	438	2203
166	440	2195
167	441	2187
168	442	2177
169	443	2166
170	445	2158
171	446	2150
172	448	2143
173	451	2143
174	453	2136
175	454	2127
176	455	2118
177	456	2110
178	458	2100
179	459	2091
180	460	2083
181	461	2076
182	464	2075
183	467	2071
184	468	2063
185	469	2055
186	471	2047
187	472	2040
188	473	2032
189	474	2024
190	476	2016
191	477	2009
192	479	2004
193	480	1997
194	481	1989
195	483	1983
